Patient Name: Water, Phantom
Patient ID: WP001
Plan: QA1-6MV
Course: C1
Date: 06 October 2020 11:40:28 AM
Exported by: alanphys

Start: (-14.63, 4.78, -0.28)
End:   (14.77, 4.78, -0.28)

	20x20-6MV
26.389029	10.855394
26.414043	10.763506
26.439056	10.671617
26.464069	10.579729
26.489082	10.487840
26.514096	10.406977
26.539109	10.334652
26.564122	10.262328
26.589136	10.190004
26.614149	10.117680
26.639162	10.045355
26.664176	9.973031
26.689189	9.900707
26.714202	9.828383
26.739215	9.756059
26.764229	9.689978
26.789242	9.628629
26.814255	9.567281
26.839269	9.505932
26.864282	9.444584
26.889295	9.383235
26.914309	9.321887
26.939322	9.260538
26.964335	9.199190
26.989348	9.137841
27.014362	9.080840
27.039375	9.027063
27.064388	8.973286
27.089402	8.919509
27.114415	8.865732
27.139428	8.811954
27.164441	8.758177
27.189455	8.704400
27.214468	8.650623
27.239481	8.596846
27.264495	8.546018
27.289508	8.497330
27.314521	8.448642
27.339535	8.399954
27.364548	8.351266
27.389561	8.302578
27.414574	8.253890
27.439588	8.205202
27.464601	8.156514
27.489614	8.107826
27.514628	8.061127
27.539641	8.015841
27.564654	7.970554
27.589668	7.925268
27.614681	7.879981
27.639694	7.834695
27.664707	7.789409
27.689721	7.744122
27.714734	7.698836
27.739747	7.653549
27.764761	7.609987
27.789774	7.567621
27.814787	7.525255
27.839801	7.482889
27.864814	7.440524
27.889827	7.398158
27.914840	7.355792
27.939854	7.313426
27.964867	7.271061
27.989880	7.228695
28.014894	7.187707
28.039907	7.147655
28.064920	7.107603
28.089934	7.067551
28.114947	7.027499
28.139960	6.987448
28.164973	6.947396
28.189987	6.907344
28.215000	6.867292
28.240013	6.827240
28.265027	6.788373
28.290040	6.750293
28.315053	6.712213
28.340066	6.674133
28.365080	6.636053
28.390093	6.597974
28.415106	6.559894
28.440120	6.521814
28.465133	6.483734
28.490146	6.445654
28.515160	6.408361
28.540173	6.371578
28.565186	6.334795
28.590199	6.298013
28.615213	6.261230
28.640226	6.224448
28.665239	6.187665
28.690253	6.150882
28.715266	6.114100
28.740279	6.077317
28.765293	6.041019
28.790306	6.005029
28.815319	5.969040
28.840332	5.933050
28.865346	5.897060
28.890359	5.861070
28.915372	5.825080
28.940386	5.789090
28.965399	5.753100
28.990412	5.717110
29.015426	5.681462
29.040439	5.646025
29.065452	5.610589
29.090465	5.575153
29.115479	5.539716
29.140492	5.504280
29.165505	5.468843
29.190519	5.433407
29.215532	5.397971
29.240545	5.362534
29.265559	5.322858
29.290572	5.280605
29.315585	5.238352
29.340598	5.196100
29.365612	5.153847
29.390625	5.111594
